,Potability
1790,0
467,0
2317,1
1829,0
1142,1
628,0
2242,0
601,0
2146,0
949,0
337,1
976,0
3034,0
226,0
1681,0
3157,1
2249,0
187,0
545,0
783,1
533,0
2234,0
2065,0
1638,1
1733,0
1704,0
1333,0
3140,1
1089,1
612,0
3168,1
706,1
265,1
2537,0
2731,1
30,0
1666,0
1062,0
1483,1
1820,0
824,0
3155,1
1844,0
3002,0
898,0
450,0
3100,0
345,1
2042,1
1513,1
1602,1
1691,0
2600,0
213,0
110,0
412,0
1329,0
897,0
641,0
2304,1
2737,1
1672,0
514,0
100,0
26,0
1743,0
2347,1
363,1
1739,0
2084,0
1073,1
2017,1
1349,0
3083,0
817,1
176,0
815,1
1214,1
3188,1
1152,1
333,1
2390,1
1469,0
1306,0
2333,1
1000,0
2967,0
1570,1
127,0
3181,1
2865,1
3177,1
3107,0
2290,0
2974,0
433,0
201,0
326,1
2881,0
1518,1
1023,0
1598,1
830,0
85,0
281,1
1957,1
624,0
2815,1
3219,1
1183,1
1754,0
236,0
1853,0
1758,0
377,1
397,1
1171,1
1070,1
1247,0
356,1
2473,0
3136,1
98,0
2937,0
879,0
2442,1
1525,1
1883,0
1199,1
2356,1
1801,0
96,0
1563,1
700,1
1141,1
1072,1
2821,1
745,1
2746,1
2497,0
850,0
1066,0
2074,0
1208,1
509,0
2613,0
1669,0
637,0
2960,0
1908,1
1655,0
3237,1
1201,1
642,0
2433,1
1419,0
1791,0
2834,1
1569,1
2171,0
2145,0
1447,0
1907,1
846,0
2780,1
3186,1
1182,1
2205,0
2844,1
3169,1
1826,0
2228,0
3125,1
1895,1
538,0
1200,1
1555,1
638,0
2866,1
1371,0
782,1
2209,0
1675,0
0,0
2603,0
2085,0
895,0
347,1
1279,0
1095,1
295,1
418,0
306,1
1082,1
2635,0
2870,0
211,0
1137,1
1640,0
2325,1
2352,1
584,0
2103,0
2709,1
1443,0
2687,0
835,0
1517,1
3259,1
1077,1
1867,0
1336,0
1248,0
2182,0
2809,1
658,0
2539,0
822,0
2745,1
2111,0
582,0
2711,1
217,0
3218,1
1765,0
34,0
2825,1
2529,0
1683,0
2869,0
2472,0
1757,0
930,0
2692,0
2199,0
3116,0
2114,0
2690,0
249,0
719,1
2438,1
1472,0
179,0
1656,0
1767,0
594,0
1657,0
2679,0
2246,0
2596,0
2641,0
1319,0
2385,1
2905,0
621,0
123,0
1087,1
3202,1
2008,1
1797,0
1696,0
2900,0
1977,1
1914,1
3238,1
2777,1
1450,0
681,1
263,1
696,1
1049,0
1934,1
2533,0
2783,1
1859,0
199,0
2233,0
3241,1
41,0
407,1
1386,0
580,0
1962,1
2064,0
2432,1
1410,0
3054,0
1700,0
955,0
3211,1
1922,1
3036,0
2137,0
2523,0
1989,1
2412,1
1302,0
1772,0
1635,1
557,0
935,0
2803,1
852,0
2545,0
3071,0
3248,1
718,1
1660,0
67,0
537,0
1403,0
2988,0
408,1
2175,0
933,0
2014,1
2520,0
2503,0
2398,1
2591,0
395,1
1418,0
2048,1
1431,0
1325,0
807,1
456,0
282,1
2410,1
1654,0
2407,1
3262,1
88,0
315,1
3031,0
414,0
2210,0
2015,1
2049,1
2772,1
1703,0
1297,0
2308,1
2816,1
314,1
1114,1
1027,0
1084,1
2494,0
2148,0
1243,0
1587,1
1876,0
63,0
2597,0
2982,0
1839,0
485,0
3114,0
2936,0
871,0
2992,0
2257,0
191,0
2354,1
405,1
2335,1
177,0
2384,1
1927,1
2624,0
2110,0
1163,1
2037,1
3145,1
2852,1
1773,0
3273,1
2093,0
2113,0
804,1
248,0
2499,0
1435,0
367,1
2055,0
758,1
2906,0
525,0
1634,1
857,0
3179,1
1344,0
1156,1
2776,1
476,0
1056,0
242,0
2239,0
2660,0
789,1
3133,1
2415,1
2471,0
134,0
2331,1
1575,1
1609,1
1616,1
500,0
900,0
2373,1
801,1
2258,0
2350,1
2572,0
1593,1
2478,0
1807,0
2302,1
1866,0
1724,0
1022,0
2730,1
731,1
2510,0
2203,0
230,0
2925,0
2340,1
2336,1
720,1
867,0
765,1
3103,0
1040,0
1924,1
3045,0
1366,0
1618,1
117,0
3104,0
3256,1
1229,1
1269,0
2806,1
241,0
2878,0
1647,0
2382,1
1299,0
894,0
1538,1
2560,0
404,1
952,0
3222,1
2186,0
1496,1
1546,1
154,0
1903,1
2060,0
934,0
1175,1
2395,1
1891,1
541,0
844,0
429,0
3075,0
1412,0
876,0
1971,1
1617,1
1116,1
1900,1
669,1
766,1
2456,1
146,0
1245,0
974,0
353,1
869,0
708,1
3015,0
3132,1
284,1
454,0
466,0
903,0
490,0
2850,1
135,0
62,0
52,0
2658,0
1558,1
756,1
1497,1
2440,1
2135,0
752,1
2899,0
787,1
2980,0
1945,1
2458,1
2653,0
2951,0
1384,0
2707,0
2303,1
3095,0
2764,1
99,0
920,0
987,0
1717,0
1551,1
2178,0
1763,0
2374,1
1881,0
462,0
1218,1
1905,1
327,1
1030,0
320,1
2311,1
1762,0
2588,0
3061,0
142,0
1577,1
2875,0
229,0
532,0
498,0
769,1
264,1
1578,1
1191,1
2104,0
2061,0
2608,0
373,1
132,0
70,0
2986,0
1819,0
3084,0
2,0
1761,0
775,1
2278,0
923,0
757,1
629,0
1394,0
361,1
91,0
1198,1
1389,0
2676,0
1093,1
872,0
3236,1
386,1
1194,1
3046,0
2243,0
415,0
2577,0
3147,1
2505,0
1872,0
2067,0
1840,0
2665,0
195,0
2956,0
1849,0
2627,0
1211,1
3170,1
2814,1
1140,1
2108,0
2465,0
3232,1
3223,1
2143,0
496,0
1014,0
76,0
2823,1
193,0
162,0
518,0
1567,1
707,1
767,1
365,1
1731,0
3166,1
2054,0
3013,0
332,1
1816,0
269,1
1159,1
2898,0
1147,1
2606,0
3129,1
2700,0
694,1
2688,0
1012,0
1950,1
2475,0
2972,0
546,0
1348,0
417,0
2253,0
1131,1
861,0
68,0
2196,0
2033,1
2770,1
2276,0
1048,0
1261,0
3189,1
3126,1
292,1
737,1
1304,0
106,0
115,0
1817,0
2004,1
2693,0
1833,0
1760,0
171,0
1744,0
1172,1
1610,1
3088,0
2187,0
2833,1
3158,1
2306,1
1847,0
1615,1
2164,0
929,0
119,0
3267,1
1600,1
287,1
1861,0
2740,1
1606,1
1241,0
2920,0
383,1
1873,0
3261,1
5,0
542,0
1173,1
2873,0
587,0
1353,0
3260,1
2708,0
84,0
2460,0
2643,0
259,1
859,0
1176,1
2552,0
2176,0
1568,1
406,1
2928,0
2142,0
2447,1
1275,0
1003,0
698,1
3268,1
1055,0
2332,1
2521,0
1293,0
2482,0
1209,1
1750,0
3016,0
2699,0
2081,0
87,0
197,0
1395,0
447,0
3206,1
1346,0
3271,1
1495,1
449,0
3065,0
3040,0
1777,0
656,0
470,0
1769,0
3101,0
1526,1
2116,0
571,0
2150,0
1220,1
1372,0
2819,1
1031,0
916,0
12,0
3115,0
2908,0
2063,0
1178,1
1226,1
2519,0
2134,0
2858,1
3028,0
2877,0
2180,0
2728,1
597,0
2230,0
1364,0
2296,0
2489,0
1811,0
1848,0
2293,0
3023,0
2526,0
411,0
1973,1
2272,0
440,0
2492,0
791,1
2166,0
2662,0
1741,0
1522,1
1385,0
2955,0
2334,1
237,0
16,0
148,0
3076,0
2671,0
1197,1
1756,0
20,0
1311,0
1255,0
939,0
2904,0
2185,0
1058,0
1360,0
784,1
1427,0
2792,1
1689,0
3266,1
2841,1
3130,1
3033,0
2948,0
2031,1
680,1
529,0
1477,0
1943,1
992,0
963,0
1420,0
3216,1
610,0
421,0
2232,0
29,0
1771,0
2768,1
1629,1
2701,0
802,1
2947,0
186,0
1227,1
2439,1
1480,1
2431,1
3139,1
608,0
995,0
2810,1
2576,0
460,0
2172,0
298,1
539,0
1307,0
950,0
3078,0
2027,1
2722,1
3220,1
2592,0
570,0
2195,0
2962,0
1968,1
779,1
307,1
986,0
1677,0
2946,0
2320,1
114,0
1633,1
703,1
1586,1
3052,0
1501,1
2309,1
1933,1
2227,0
151,0
763,1
1367,0
892,0
2250,0
1096,1
318,1
1736,0
2696,0
693,1
1445,0
2005,1
2629,0
691,1
1409,0
829,0
2479,0
313,1
2109,0
33,0
2216,0
2506,0
413,0
1566,1
375,1
2231,0
2543,0
2170,0
2073,0
716,1
1369,0
1607,1
1078,1
548,0
1802,0
3201,1
2916,0
1036,0
1130,1
516,0
2256,0
351,1
2157,0
2378,1
31,0
1778,0
3163,1
370,1
1623,1
3066,0
475,0
2305,1
3226,1
1441,0
2778,1
832,0
2621,0
1823,0
2348,1
3127,1
139,0
2618,0
2403,1
1562,1
2117,0
2994,0
8,0
1557,1
3224,1
1151,1
1457,0
1005,0
678,1
1553,1
2400,1
1888,0
1652,0
432,0
2513,0
2538,0
277,1
1155,1
1187,1
1729,0
2871,0
816,1
2034,1
2071,0
2827,1
3212,1
687,1
3000,0
937,0
1378,0
2674,0
2443,1
559,0
2835,1
1310,0
866,0
2612,0
661,1
2220,0
1423,0
128,0
1206,1
972,0
1779,0
1316,0
266,1
2011,1
2371,1
2935,0
560,0
1144,1
2422,1
551,0
2453,1
103,0
2961,0
635,0
2169,0
932,0
2480,0
3106,0
878,0
1120,1
1755,0
1478,0
2039,1
2509,0
1051,0
3183,1
723,1
2534,0
2703,0
1504,1
1887,0
962,0
823,0
1129,1
2076,0
1136,1
2449,1
1679,0
143,0
1625,1
968,0
1742,0
3113,0
1524,1
2860,1
1454,0
2072,0
2969,0
1974,1
1287,0
2673,0
1663,0
1579,1
1856,0
145,0
2261,0
2651,0
2417,1
2327,1
2672,0
2831,1
118,0
285,1
1318,0
2796,1
2268,0
786,1
688,1
1913,1
448,0
3024,0
2885,0
709,1
2165,0
845,0
165,0
434,0
2913,0
2839,1
390,1
399,1
3120,1
2655,0
1803,0
1882,0
2610,0
728,1
1451,0
1188,1
446,0
1324,0
2846,1
3208,1
528,0
2602,0
2295,0
991,0
2726,1
942,0
889,0
2133,0
1592,1
1805,0
322,1
978,0
1706,0
975,0
2854,1
1284,0
1224,1
108,0
1749,0
596,0
2907,0
1101,1
483,0
1552,1
3008,0
2285,0
2712,1
1879,0
3227,1
985,0
192,0
2201,0
279,1
3110,0
2141,0
271,1
2343,1
3234,1
2748,1
981,0
2123,0
1071,1
848,0
2191,0
2029,1
1282,0
573,0
1986,1
1264,0
1399,0
270,1
1855,0
471,0
1343,0
3067,0
2622,0
1433,0
2742,1
274,1
1305,0
2018,1
1092,1
2917,0
795,1
1135,1
1782,0
682,1
2518,0
2419,1
1471,0
1053,0
2487,0
874,0
2423,1
3246,1
21,0
65,0
2090,0
2429,1
15,0
3275,1
250,1
911,0
957,0
1132,1
1290,0
1286,0
2922,0
1520,1
174,0
1405,0
1748,0
924,0
2650,0
1722,0
605,0
977,0
2289,0
1355,0
2808,1
107,0
2888,0
2568,0
2437,1
1322,0
3009,0
798,1
2000,1
1503,1
3161,1
625,0
2484,0
575,0
2058,0
2214,0
2218,0
2694,0
521,0
2719,1
2514,0
1117,1
3200,1
64,0
1340,0
2105,0
1978,1
858,0
2154,0
1438,0
1482,1
1033,0
1204,1
3250,1
1842,0
1432,0
2221,0
2911,0
296,1
2717,1
1631,1
2252,0
902,0
468,0
2604,0
2901,0
2903,0
1953,1
464,0
1948,1
997,0
14,0
2056,0
1857,0
1390,0
1870,0
3048,0
729,1
232,0
170,0
1559,1
1984,1
3003,0
1411,0
3124,1
1678,0
1961,1
1605,1
2950,0
1975,1
2802,1
222,0
2805,1
2091,0
1252,0
2041,1
2894,0
2329,1
673,1
335,1
1400,0
3215,1
2753,1
648,0
2752,1
435,0
1210,1
205,0
1134,1
1923,1
1019,0
751,1
1452,0
616,0
2554,0
1313,0
2759,1
1231,0
1976,1
1789,0
1940,1
491,0
686,1
2801,1
1421,0
740,1
838,0
715,1
636,0
2652,0
2733,1
133,0
1272,0
2934,0
2451,1
598,0
1154,1
755,1
2769,1
1720,0
2493,0
2574,0
1088,1
1334,0
474,0
3089,0
3213,1
646,0
2890,0
517,0
1910,1
1148,1
1613,1
1994,1
1332,0
2530,0
1406,0
2918,0
2202,0
1841,0
2342,1
1461,0
3005,0
593,0
961,0
173,0
1942,1
1574,1
2420,1
689,1
772,1
1237,0
1041,0
202,0
86,0
113,0
443,0
220,0
27,0
3252,1
3012,0
2208,0
2457,1
2003,1
523,0
2644,0
2542,0
1035,0
613,0
1590,1
348,1
2215,0
1326,0
3274,1
1641,0
1786,0
893,0
595,0
948,0
3242,1
388,1
227,0
461,0
2358,1
1449,0
2032,1
1356,0
2298,0
275,1
1996,1
2675,0
1312,0
3257,1
294,1
3245,1
2666,0
2763,1
1813,0
885,0
2416,1
3006,0
1108,1
1560,1
1985,1
73,0
2562,0
1680,0
880,0
2996,0
2411,1
3243,1
83,0
2282,0
473,0
2020,1
13,0
2391,1
1860,0
1912,1
2820,1
1627,1
1339,0
562,0
2524,0
1793,0
39,0
746,1
1540,1
2909,0
1458,0
2043,1
391,1
3102,0
2044,1
2086,0
2370,1
2619,0
530,0
883,0
2236,0
2077,0
1831,0
262,1
2872,0
244,0
3167,1
1581,1
2771,1
2990,0
1090,1
2578,0
2052,0
2362,1
2985,0
702,1
2620,0
1862,0
2254,0
818,1
3174,1
1584,1
2795,1
1039,0
2454,1
2192,0
102,0
2727,1
3197,1
662,1
1608,1
2838,1
3080,0
58,0
1573,1
272,1
1104,1
1257,0
1531,1
806,1
2476,0
725,1
3063,0
2490,0
1259,0
2386,1
2882,0
2630,0
3258,1
1285,0
2101,0
1711,0
3153,1
392,1
1110,1
441,0
1734,0
620,0
3085,0
2359,1
1486,1
724,1
2522,0
2224,0
565,0
3263,1
1352,0
3239,1
1808,0
2817,1
998,0
1549,1
424,0
727,1
1919,1
777,1
2989,0
2895,0
2793,1
2168,0
3196,1
1490,1
2341,1
2889,0
1065,0
3049,0
2212,0
2550,0
350,1
131,0
820,0
3096,0
667,1
2198,0
66,0
2787,1
261,1
2851,1
2859,1
160,0
2307,1
738,1
2380,1
438,0
428,0
101,0
1799,0
2434,1
3221,1
1509,1
364,1
796,1
550,0
2664,0
1843,0
3057,0
3207,1
278,1
1202,1
401,1
2551,0
943,0
1785,0
2595,0
2445,1
1929,1
57,0
2648,0
159,0
886,0
2874,0
344,1
95,0
1916,1
993,0
1528,1
317,1
736,1
2586,0
1982,1
255,1
2782,1
1239,0
717,1
385,1
965,0
1375,0
655,0
11,0
3210,1
3128,1
2704,0
156,0
2848,1
2393,1
1852,0
1601,1
2921,0
2330,1
301,1
712,1
3043,0
1177,1
912,0
2498,0
2647,0
1189,1
833,0
2360,1
472,0
2474,0
166,0
2949,0
324,1
283,1
526,0
302,1
181,0
2702,0
2126,0
1112,1
382,1
2130,0
2832,1
578,0
837,0
2933,0
427,0
1119,1
3180,1
349,1
1651,0
2681,0
152,0
2729,1
3039,0
600,0
2435,1
701,1
1780,0
527,0
1407,0
1830,0
1661,0
1715,0
2139,0
2842,1
905,0
825,0
1897,1
2324,1
604,0
1516,1
581,0
1099,1
1880,0
2248,0
1475,0
553,0
1094,1
951,0
953,0
2626,0
2892,0
2247,0
549,0
426,0
2344,1
1167,1
675,1
2799,1
1701,0
2377,1
2781,1
1845,0
2040,1
2002,1
842,0
305,1
2099,0
644,0
1068,0
2425,1
3050,0
2680,0
2363,1
785,1
627,0
243,0
3121,1
1690,0
2459,1
2259,0
645,0
504,0
1698,0
2028,1
1217,1
944,0
1246,0
3159,1
1244,0
1037,0
1947,1
1768,0
3199,1
865,0
3150,1
672,1
17,0
153,0
1766,0
2657,0
1585,1
2062,0
854,0
2121,0
3264,1
519,0
1467,0
1901,1
2501,0
1732,0
2047,1
1007,0
2271,0
3233,1
93,0
2124,0
1368,0
2238,0
223,0
2263,0
2569,0
1863,0
1918,1
2444,1
387,1
2528,0
1174,1
511,0
3020,0
676,1
297,1
2887,0
1511,1
1374,0
494,0
2070,0
2639,0
2794,1
169,0
3175,1
2953,0
1069,0
409,1
2886,0
1,0
2160,0
2446,1
1301,0
2686,0
2544,0
2638,0
1952,1
2428,1
2732,1
437,0
1121,1
1995,1
1670,0
2876,0
2095,0
2589,0
697,1
1126,1
606,0
238,0
967,0
3141,1
3270,1
1008,0
1583,1
1821,0
430,0
1795,0
158,0
1746,0
1044,0
1963,1
2337,1
2012,1
2766,1
1659,0
453,0
502,0
3027,0
3247,1
1865,0
1013,0
3142,1
1143,1
1017,0
2654,0
2636,0
2299,0
1954,1
1788,0
1603,1
2642,0
3178,1
444,0
402,1
1425,0
2628,0
1783,0
245,0
2193,0
1781,0
982,0
2919,0
984,0
1718,0
1064,0
611,0
478,0
2269,0
311,1
1539,1
1109,1
2127,0
671,1
2225,0
684,1
1139,1
810,1
2083,0
1465,0
2594,0
1025,0
634,0
2406,1
1595,1
2149,0
2710,1
1775,0
2939,0
1393,0
2255,0
2059,0
2504,0
3269,1
1561,1
163,0
2932,0
3112,0
1446,0
1232,0
359,1
1512,1
3265,1
2240,0
733,1
208,0
1992,1
71,0
3195,1
2158,0
97,0
921,0
2292,0
1401,0
22,0
554,0
2396,1
1885,0
3173,1
591,0
2136,0
1858,0
1074,1
592,0
2009,1
705,1
2705,0
2614,0
2280,0
1100,1
2517,0
663,1
3053,0
2535,0
1010,0
2283,0
1015,0
2144,0
1898,1
190,0
10,0
1620,1
1479,0
966,0
144,0
1076,1
558,0
1937,1
1436,0
2318,1
2867,1
2706,0
1085,1
2532,0
1604,1
79,0
2177,0
811,1
2115,0
1149,1
2697,0
1702,0
3070,0
1944,1
609,0
813,1
219,0
40,0
2357,1
1309,0
2863,1
828,0
1716,0
960,0
2452,1
2328,1
1969,1
1967,1
253,1
2100,0
855,0
561,0
654,0
2943,0
2744,1
3156,1
1382,0
2637,0
82,0
2751,1
2265,0
3030,0
2353,1
2053,0
2587,0
788,1
711,1
2404,1
1118,1
1278,0
2583,0
465,0
2069,0
378,1
797,1
2038,1
2021,1
2556,0
1582,1
1667,0
46,0
1485,1
3001,0
1874,0
451,0
2274,0
1699,0
1268,0
357,1
2119,0
2277,0
1127,1
2310,1
947,0
632,0
2245,0
2553,0
2757,1
1274,0
1327,0
2388,1
851,0
3,0
540,0
2467,0
1502,1
394,1
2555,0
907,0
2140,0
239,0
1594,1
3225,1
1709,0
1021,0
1161,1
2262,0
2789,1
2998,0
47,0
1523,1
1818,0
2426,1
1878,0
2971,0
1300,0
1639,1
1980,1
499,0
3082,0
2590,0
419,0
2546,0
2940,0
2724,1
1688,0
1889,0
1487,1
1011,0
2251,0
760,1
2321,1
1164,1
362,1
512,0
2959,0
2663,0
1351,0
1426,0
2798,1
1464,0
436,0
906,0
2567,0
831,0
3171,1
979,0
1288,0
2287,0
1527,1
2153,0
2944,0
343,1
1643,0
3148,1
1662,0
2323,1
1273,0
1580,1
1442,0
2107,0
2931,0
1949,1
371,1
2184,0
1530,1
623,0
1875,0
49,0
2088,0
477,0
908,0
3077,0
3182,1
1728,0
732,1
2364,1
936,0
2623,0
1668,0
1576,1
973,0
75,0
2045,1
599,0
1599,1
1361,0
1547,1
863,0
